timestamp,x,y,z
0,-2.99,8.53,-3.69
10,-2.97,8.52,-3.7
20,-3.04,8.46,-3.64
30,-3.05,8.44,-3.43
40,-3.08,8.39,-3.16
50,-3.12,8.32,-2.86
60,-3.08,8.26,-2.67
70,-3.08,8.21,-2.6
80,-3.05,8.23,-2.72
90,-3.0,8.24,-2.89
100,-3.1,8.26,-3.04
110,-3.13,8.27,-3.15
120,-3.17,8.22,-3.06
130,-3.21,8.2,-2.89
140,-3.06,8.2,-2.71
150,-3.09,8.15,-2.58
160,-3.23,8.05,-2.3
170,-3.37,7.96,-2.08
180,-3.52,7.86,-2.02
190,-3.65,7.73,-1.8
200,-3.68,7.54,-1.45
210,-3.91,7.26,-1.1
220,-4.41,6.89,-0.32
230,-4.95,6.18,1.01
240,-5.93,5.26,2.75
250,-7.15,4.13,4.64
260,-8.83,2.78,6.45
270,-10.67,1.58,8.8
280,-12.57,-0.29,10.94
290,-14.61,-2.25,12.89
300,-15.95,-4.38,14.68
310,-16.53,-7.51,15.87
320,-16.96,-11.66,18.09
330,-15.86,-16.05,21.15
340,-12.96,-21.09,21.26
350,-7.88,-25.4,16.95
360,-2.58,-28.84,11.02
370,-0.28,-33.5,6.54
380,-0.7,-39.47,3.53
390,2.57,-44.57,-1.3
400,12.56,-47.48,-6.76
410,20.01,-46.74,-13.24
420,26.76,-43.06,-28.55
430,30.41,-35.17,-37.41
440,31.15,-26.93,-46.66
450,25.44,-21.72,-56.21
460,19.69,-18.99,-64.45
470,14.56,-19.17,-64.8
480,8.41,-21.93,-56.4
490,6.51,-24.06,-46.01
500,8.3,-23.1,-40.95
510,11.6,-20.15,-43.84
520,12.2,-17.5,-51.03
530,9.03,-17.63,-56.7
540,5.02,-21.39,-56.77
550,1.01,-28.21,-52.22
560,-0.58,-35.21,-42.29
570,-0.2,-38.92,-30.2
580,2.55,-37.91,-20.84
590,8.55,-34.18,-17.34
600,11.16,-31.93,-14.73
610,8.02,-31.3,-8.66
620,5.64,-28.45,-0.71
630,4.92,-24.95,4.81
640,5.46,-21.23,7.04
650,5.48,-17.92,7.96
660,4.31,-15.7,9.83
670,1.96,-14.46,14.27
680,0.25,-11.77,17.46
690,-0.49,-9.71,17.7
700,-1.05,-7.88,15.59
710,-0.42,-5.76,13.95
720,-0.01,-4.65,13.69
730,-0.23,-3.16,13.91
740,-0.63,-2.25,14.52
750,-1.99,-0.99,13.21
760,-2.81,0.24,12.9
770,-3.76,1.48,13.18
780,-4.59,2.64,13.17
790,-5.2,3.6,13.81
800,-5.8,4.36,15.13
810,-6.08,5.09,15.84
820,-5.75,5.87,14.73
830,-4.99,6.61,12.69
840,-4.09,7.32,9.75
850,-2.73,8.16,5.82
860,-1.42,9.0,1.06
870,-0.94,9.84,-3.39
880,-0.98,10.37,-6.96
890,-0.61,10.57,-6.64
900,-0.09,10.49,-4.41
910,0.27,10.36,-3.37
920,0.25,10.29,-2.9
930,-0.26,10.15,-3.0
940,-0.37,10.06,-3.21
950,0.21,10.18,-3.82
960,0.8,10.19,-4.71
970,1.18,10.39,-5.08
980,1.6,10.46,-5.04
990,1.92,10.47,-4.53
1000,1.98,10.47,-3.38
