timestamp,x,y,z
0,-3.49,7.86,-3.3
10,-3.38,7.93,-3.29
20,-3.25,8.03,-3.36
30,-3.27,8.05,-3.32
40,-3.28,8.04,-3.12
50,-3.34,8.1,-2.89
60,-3.28,8.1,-2.76
70,-3.22,8.14,-2.65
80,-3.17,8.16,-2.53
90,-3.27,8.08,-2.36
100,-3.21,8.11,-2.29
110,-3.04,8.2,-2.46
120,-2.91,8.08,-2.45
130,-2.8,8.04,-2.35
140,-2.67,7.99,-2.35
150,-2.61,7.99,-2.43
160,-2.65,7.97,-2.52
170,-2.72,7.88,-2.69
180,-2.6,7.81,-2.88
190,-2.3,7.86,-3.14
200,-2.12,7.77,-3.35
210,-2.01,7.66,-3.33
220,-1.91,7.44,-3.29
230,-2.25,7.07,-3.31
240,-2.75,6.58,-3.11
250,-3.74,6.02,-2.81
260,-5.23,5.34,-2.48
270,-6.14,4.81,-2.92
280,-6.24,4.64,-4.02
290,-5.27,4.79,-5.62
300,-3.75,5.66,-7.69
310,-2.55,6.9,-10.05
320,-1.97,8.09,-12.64
330,-1.74,9.06,-15.04
340,-2.01,9.67,-16.66
350,-2.87,9.71,-16.74
360,-3.54,9.38,-15.7
370,-3.62,8.77,-13.76
380,-3.46,8.12,-11.38
390,-3.13,7.59,-8.82
400,-2.77,7.07,-6.3
410,-2.51,7.01,-4.7
420,-2.15,7.1,-4.25
430,-1.11,7.16,-4.42
440,-0.41,7.07,-4.54
450,-0.3,6.88,-4.41
460,-0.57,6.76,-4.04
470,-1.19,6.39,-3.26
480,-1.93,5.71,-2.31
490,-2.68,4.64,-0.6
500,-4.07,3.29,2.57
510,-7.33,1.35,8.02
520,-13.86,-1.85,16.14
530,-22.5,-6.95,26.53
540,-31.28,-14.39,39.11
550,-31.07,-19.51,43.96
560,-23.56,-24.84,35.5
570,-14.02,-28.6,23.42
580,-1.67,-31.04,13.11
590,4.36,-33.52,5.87
600,1.96,-37.37,0.69
610,0.79,-39.41,-7.48
620,1.78,-39.32,-17.09
630,4.75,-36.32,-25.32
640,12.08,-30.76,-37.87
650,16.72,-23.14,-43.34
660,19.06,-17.59,-38.02
670,16.45,-16.92,-29.99
680,11.82,-16.68,-29.09
690,10.58,-15.1,-30.83
700,11.56,-13.65,-30.22
710,10.88,-12.47,-28.21
720,9.22,-11.77,-27.76
730,9.65,-11.5,-26.35
740,10.62,-10.8,-24.8
750,10.79,-9.69,-22.47
760,10.69,-8.7,-20.7
770,9.78,-8.13,-19.91
780,9.32,-8.14,-18.48
790,9.83,-8.12,-15.93
800,11.37,-7.77,-13.93
810,13.02,-7.15,-13.37
820,13.58,-6.8,-13.54
830,12.96,-6.79,-14.08
840,11.86,-6.95,-15.82
850,12.11,-6.44,-19.41
860,12.6,-5.8,-24.36
870,12.56,-5.89,-30.35
880,11.39,-6.69,-36.23
890,8.73,-8.72,-40.79
900,6.8,-11.87,-45.09
910,5.35,-16.89,-46.45
920,5.73,-23.85,-45.24
930,9.09,-30.99,-41.78
940,13.0,-37.38,-35.44
950,13.11,-42.11,-26.87
960,10.57,-43.87,-17.2
970,7.15,-42.02,-6.95
980,2.39,-38.08,3.8
990,-3.51,-32.53,14.43
1000,-8.01,-25.93,22.15
