timestamp,x,y,z
0,2.22,3.99,-6.23
10,1.78,3.79,-6.04
20,1.34,3.66,-5.63
30,0.82,3.47,-5.14
40,0.11,3.18,-4.63
50,-0.55,3.01,-4.43
60,-1.65,2.67,-4.08
70,-2.72,2.27,-3.12
80,-2.83,1.62,-1.57
90,-2.79,0.92,-0.08
100,-3.0,0.19,1.59
110,-3.3,-0.79,2.26
120,-3.67,-2.01,3.09
130,-4.18,-3.27,3.46
140,-4.81,-4.71,2.05
150,-5.01,-6.25,0.03
160,-4.91,-8.42,-1.36
170,-3.82,-10.26,-2.83
180,-1.99,-11.52,-4.43
190,-0.4,-13.04,-6.23
200,1.11,-14.59,-8.23
210,2.81,-15.93,-10.84
220,3.85,-16.16,-15.24
230,3.06,-15.9,-21.39
240,1.76,-15.07,-25.6
250,1.54,-14.63,-27.54
260,2.86,-13.74,-26.64
270,4.25,-13.18,-24.02
280,4.69,-13.58,-21.87
290,4.77,-13.71,-21.05
300,4.16,-13.42,-20.86
310,3.54,-13.25,-21.23
320,3.2,-12.97,-22.11
330,2.69,-12.48,-23.16
340,1.38,-11.47,-25.77
350,0.34,-10.69,-29.02
360,0.59,-9.75,-31.08
370,0.9,-9.54,-32.29
380,-0.31,-10.77,-32.58
390,-1.68,-12.08,-31.0
400,-3.49,-14.02,-29.39
410,-4.26,-14.93,-28.5
420,-4.64,-15.07,-27.44
430,-4.62,-15.32,-27.03
440,-5.05,-15.72,-27.12
450,-6.22,-16.42,-26.15
460,-8.4,-17.55,-23.96
470,-9.04,-18.41,-20.65
480,-8.13,-18.18,-16.68
490,-6.84,-17.74,-12.43
500,-6.52,-17.51,-8.66
510,-6.06,-15.92,-5.89
520,-4.42,-14.28,-2.41
530,-1.81,-12.33,5.09
540,-1.5,-10.16,6.87
550,-0.85,-8.29,7.09
560,0.86,-6.58,7.91
570,1.94,-5.56,8.7
580,2.21,-5.09,10.54
590,2.92,-4.62,13.66
600,3.62,-3.32,14.7
610,3.85,-2.1,12.79
620,3.77,-0.84,10.45
630,3.47,0.38,7.53
640,4.24,1.33,4.65
650,4.75,2.06,2.39
660,4.15,2.54,1.55
670,3.11,2.82,1.56
680,2.25,3.21,1.04
690,1.24,3.63,-0.05
700,0.71,4.03,-1.25
710,0.38,4.25,-2.06
720,1.02,4.7,-2.84
730,1.73,5.03,-3.91
740,1.67,5.4,-5.09
750,1.52,5.82,-6.41
760,1.55,6.2,-7.61
770,1.48,6.5,-8.59
780,1.56,6.8,-9.06
790,1.71,6.97,-9.11
800,1.88,7.22,-9.0
810,1.89,7.32,-8.95
820,1.78,7.35,-9.02
830,1.81,7.32,-9.01
840,2.09,7.21,-8.77
850,2.37,7.12,-8.29
860,2.36,7.07,-7.8
870,2.24,6.87,-7.35
880,2.21,6.75,-6.97
890,2.39,6.68,-6.95
900,2.74,6.62,-7.12
910,3.18,6.63,-7.28
920,3.3,6.64,-7.55
930,3.12,6.62,-7.71
940,2.78,6.54,-7.66
950,2.69,6.52,-7.3
960,3.03,6.59,-6.9
970,3.34,6.6,-6.63
980,3.66,6.61,-6.6
990,4.15,6.59,-6.79
1000,4.64,6.58,-7.01
