timestamp,x,y,z
0,-1.39,9.79,-1.4
10,-1.27,9.84,-1.28
20,-1.17,9.91,-1.31
30,-1.07,9.96,-1.44
40,-1.14,10.0,-1.62
50,-1.22,9.98,-1.8
60,-1.18,9.97,-1.94
70,-1.07,9.95,-2.0
80,-1.29,9.76,-1.86
90,-1.81,9.56,-1.47
100,-2.15,9.46,-1.09
110,-2.4,9.49,-1.16
120,-3.03,9.45,-1.27
130,-3.81,9.36,-1.01
140,-4.3,9.16,-0.59
150,-4.52,8.95,-0.38
160,-4.61,8.67,-0.34
170,-4.54,8.33,-0.65
180,-4.45,7.93,-0.96
190,-4.22,7.5,-1.29
200,-4.09,7.03,-1.54
210,-4.14,6.62,-1.53
220,-4.11,6.2,-1.34
230,-4.2,5.81,-1.09
240,-4.39,5.41,-0.69
250,-4.53,5.0,-0.41
260,-4.45,4.52,-0.03
270,-4.28,3.98,0.39
280,-4.33,3.44,0.74
290,-4.58,3.14,1.74
300,-5.01,2.79,3.25
310,-5.42,2.15,5.38
320,-6.04,1.22,7.98
330,-7.81,-0.06,10.71
340,-12.18,-2.0,13.6
350,-17.89,-4.39,16.36
360,-22.75,-7.29,17.14
370,-25.77,-10.07,16.39
380,-24.42,-12.91,14.97
390,-19.91,-15.9,14.5
400,-14.52,-18.97,13.37
410,-12.04,-22.08,10.68
420,-10.85,-27.34,13.78
430,-7.83,-34.88,13.31
440,-1.51,-43.26,10.54
450,9.58,-48.53,2.4
460,20.24,-48.24,-12.66
470,26.46,-43.68,-31.31
480,26.33,-34.36,-44.66
490,27.0,-24.61,-57.05
500,24.98,-16.64,-62.22
510,19.96,-14.29,-53.62
520,17.82,-15.35,-40.98
530,17.31,-16.7,-30.32
540,21.29,-16.39,-23.54
550,25.95,-14.8,-24.21
560,27.08,-12.48,-30.28
570,25.92,-9.8,-36.72
580,22.57,-7.71,-41.33
590,16.38,-7.11,-41.9
600,8.91,-8.03,-36.81
610,6.06,-9.22,-31.5
620,6.14,-9.95,-27.43
630,7.94,-10.06,-27.57
640,9.43,-10.33,-31.43
650,8.48,-11.56,-35.44
660,4.98,-14.88,-37.03
670,1.14,-18.35,-35.36
680,-1.19,-21.57,-30.15
690,-0.37,-23.09,-23.49
700,1.42,-22.78,-18.91
710,1.52,-22.25,-14.14
720,1.52,-21.39,-5.96
730,2.38,-19.12,1.64
740,2.5,-16.45,7.88
750,0.61,-13.85,9.16
760,-1.75,-11.82,7.81
770,-2.85,-10.04,8.12
780,-1.39,-8.22,10.51
790,-0.78,-6.97,12.89
800,-1.75,-5.82,14.85
810,-1.77,-4.28,15.06
820,-0.8,-2.77,12.55
830,-0.54,-1.3,9.69
840,-0.8,-0.11,7.71
850,-1.67,0.64,7.58
860,-1.84,1.4,9.94
870,-0.42,2.47,12.37
880,0.63,3.6,13.84
890,0.56,4.63,13.92
900,0.44,5.56,12.74
910,0.98,6.55,10.85
920,1.11,7.42,8.46
930,1.4,8.08,6.56
940,1.78,8.51,5.9
950,2.21,8.82,5.52
960,2.22,9.01,5.24
970,1.62,8.99,5.36
980,1.32,9.07,5.04
990,1.29,9.24,4.14
1000,0.95,9.31,3.49
