timestamp,x,y,z
0,1.95,6.8,-8.49
10,2.03,6.83,-8.33
20,2.24,6.93,-7.98
30,2.48,7.03,-7.69
40,2.61,7.19,-7.58
50,2.51,7.32,-8.03
60,2.2,7.48,-8.85
70,1.9,7.82,-10.36
80,1.6,8.06,-11.43
90,1.83,8.45,-12.86
100,1.72,8.56,-13.12
110,1.31,8.48,-13.23
120,0.68,8.39,-13.51
130,0.79,8.49,-13.56
140,0.26,7.96,-12.86
150,-0.23,7.5,-12.16
160,-0.3,7.01,-11.35
170,-0.05,6.62,-10.75
180,0.43,6.29,-9.9
190,-0.35,6.0,-8.78
200,-2.76,5.52,-7.08
210,-4.21,4.99,-4.58
220,-4.98,4.26,-1.75
230,-4.83,3.15,1.29
240,-3.91,2.05,4.01
250,-3.98,1.08,5.54
260,-6.15,-0.3,6.86
270,-9.48,-1.98,9.17
280,-12.48,-3.96,12.92
290,-14.68,-6.32,16.66
300,-15.31,-7.78,20.19
310,-13.3,-9.19,22.03
320,-11.79,-11.34,22.44
330,-12.94,-15.87,20.82
340,-14.8,-19.21,16.14
350,-14.45,-22.86,10.64
360,-12.02,-26.53,5.86
370,-7.85,-28.63,2.02
380,-2.63,-29.73,-1.21
390,0.82,-29.65,-6.34
400,4.88,-27.93,-13.29
410,7.06,-25.34,-19.64
420,6.44,-24.26,-22.91
430,6.38,-23.56,-24.01
440,8.56,-22.28,-26.4
450,11.7,-20.07,-32.66
460,11.48,-17.52,-40.34
470,9.21,-15.66,-46.47
480,7.7,-14.37,-48.2
490,5.72,-13.79,-47.53
500,3.11,-13.84,-44.44
510,0.67,-13.94,-42.32
520,-0.24,-13.8,-40.24
530,1.15,-13.0,-38.75
540,4.04,-12.0,-37.67
550,5.3,-10.94,-37.81
560,5.5,-10.13,-39.45
570,6.4,-10.38,-41.3
580,5.11,-12.29,-41.66
590,3.24,-15.5,-37.26
600,1.36,-18.9,-33.13
610,-0.65,-20.96,-28.61
620,-1.45,-22.71,-22.59
630,0.14,-22.75,-10.37
640,1.07,-20.69,-9.83
650,0.18,-18.87,-6.61
660,0.49,-17.33,-3.89
670,0.34,-15.41,-0.68
680,-2.57,-14.26,3.58
690,-5.67,-12.52,8.92
700,-6.0,-10.2,14.69
710,-5.13,-7.19,17.06
720,-4.31,-5.05,16.51
730,-3.72,-3.17,14.75
740,-2.92,-1.5,11.83
750,-2.35,-0.17,8.66
760,-1.56,0.71,6.63
770,-1.2,1.61,6.0
780,-1.41,2.14,6.2
790,-1.91,2.37,6.92
800,-1.81,2.76,7.45
810,-1.91,3.15,7.01
820,-1.75,3.67,5.69
830,-0.69,4.32,4.01
840,0.06,4.95,1.97
850,0.87,5.6,-0.34
860,2.11,6.45,-2.7
870,2.32,7.02,-5.11
880,2.67,7.44,-5.61
890,3.75,8.04,-4.94
900,4.2,8.33,-5.37
910,3.37,8.7,-5.14
920,2.63,9.03,-5.09
930,2.04,9.37,-4.97
940,1.62,9.54,-4.67
950,1.69,9.72,-4.42
960,1.77,9.92,-4.26
970,1.39,10.13,-4.01
980,0.8,10.27,-3.77
990,1.02,10.45,-3.73
1000,1.46,10.7,-3.5
