timestamp,x,y,z
0,0.46,6.27,7.64
10,0.33,6.2,7.61
20,0.18,6.17,7.59
30,0.08,6.09,7.69
40,-0.17,6.04,7.94
50,-0.37,6.03,8.3
60,-0.52,6.05,8.62
70,-0.75,6.21,8.95
80,-1.0,6.26,9.02
90,-1.32,6.3,9.0
100,-1.65,6.32,9.08
110,-1.76,6.35,9.34
120,-1.63,6.44,9.8
130,-1.35,6.53,10.42
140,-1.15,6.64,10.92
150,-0.99,6.69,11.34
160,-0.92,6.74,11.77
170,-0.66,6.92,12.78
180,-0.19,7.29,13.79
190,0.83,7.3,13.71
200,2.12,6.82,12.34
210,3.13,6.41,10.06
220,3.94,6.0,7.75
230,4.73,5.7,6.05
240,5.26,5.32,4.15
250,5.69,5.15,2.17
260,6.19,4.72,0.58
270,6.49,4.38,-0.72
280,6.4,4.11,-1.61
290,6.19,3.65,-2.61
300,5.65,3.18,-3.98
310,5.01,2.87,-5.76
320,4.47,2.45,-7.75
330,3.93,1.98,-9.7
340,3.8,1.35,-11.15
350,4.21,0.72,-11.82
360,4.46,0.35,-11.7
370,5.04,-0.91,-10.92
380,5.23,-1.16,-9.2
390,4.68,-1.82,-7.72
400,5.26,-2.6,-6.11
410,5.8,-3.61,-4.08
420,6.39,-4.32,-1.5
430,6.72,-4.72,0.83
440,5.89,-5.39,2.15
450,4.26,-6.07,3.27
460,2.63,-6.74,4.65
470,1.49,-7.12,6.68
480,0.27,-7.33,9.32
490,-0.36,-7.57,13.57
500,0.41,-7.27,19.45
510,1.73,-6.61,25.24
520,2.03,-6.19,29.87
530,0.88,-6.04,32.35
540,-0.59,-6.01,33.54
550,-1.23,-5.71,34.77
560,-0.65,-5.02,36.82
570,0.61,-4.33,38.67
580,2.24,-3.71,39.91
590,3.72,-3.4,40.11
600,4.95,-3.39,39.02
610,5.47,-3.28,37.84
620,5.55,-3.12,36.74
630,5.42,-3.29,35.26
640,5.43,-3.53,33.66
650,5.76,-3.98,31.81
660,5.07,-4.74,28.76
670,3.8,-5.3,25.1
680,2.97,-5.64,21.53
690,2.33,-5.74,18.43
700,1.97,-5.65,15.88
710,2.22,-5.43,13.35
720,2.45,-5.27,10.27
730,2.62,-5.2,6.5
740,2.2,-4.96,2.32
750,1.37,-4.97,-2.42
760,0.06,-4.59,-7.01
770,-1.64,-3.76,-10.25
780,-3.31,-2.8,-11.78
790,-4.35,-1.99,-12.14
800,-4.34,-1.24,-11.66
810,-3.97,-0.59,-11.17
820,-3.23,-0.1,-10.1
830,-2.48,0.4,-8.51
840,-1.95,0.86,-7.1
850,-1.38,1.3,-6.08
860,-1.16,1.61,-4.88
870,-0.95,2.08,-3.81
880,-0.94,2.66,-2.24
890,-1.0,3.32,-0.33
900,-0.05,3.89,1.26
910,0.19,4.53,3.1
920,0.11,4.82,4.4
930,-0.2,5.3,5.56
940,0.03,5.53,6.55
950,1.0,5.86,7.3
960,1.58,6.08,7.66
970,1.6,6.32,8.03
980,1.57,6.56,8.42
990,1.67,6.68,8.42
1000,1.57,6.64,8.27
