timestamp,x,y,z
0,-1.62,8.1,-5.72
10,-1.51,8.07,-5.65
20,-1.42,8.11,-5.53
30,-1.39,8.21,-5.49
40,-1.23,8.27,-5.48
50,-0.96,8.33,-5.51
60,-0.72,8.37,-5.6
70,-0.58,8.38,-5.75
80,-0.69,8.37,-5.91
90,-0.96,8.4,-6.19
100,-1.53,8.53,-6.43
110,-2.01,8.73,-6.76
120,-2.13,8.91,-6.99
130,-1.91,9.04,-6.84
140,-1.61,9.07,-6.33
150,-1.15,9.08,-5.77
160,-0.76,9.1,-5.4
170,-0.26,9.07,-5.28
180,-0.26,8.9,-5.45
190,-0.7,8.55,-5.38
200,-1.73,8.0,-5.46
210,-2.7,7.5,-5.76
220,-3.73,6.97,-6.15
230,-4.05,6.66,-6.26
240,-4.18,6.34,-6.23
250,-4.19,6.15,-5.98
260,-5.15,5.73,-5.8
270,-6.09,5.21,-5.69
280,-6.02,4.91,-5.55
290,-5.22,4.61,-5.59
300,-5.09,4.03,-5.24
310,-5.41,3.26,-4.68
320,-5.07,2.45,-4.13
330,-5.08,1.57,-3.02
340,-6.17,0.48,-1.28
350,-8.25,-0.78,0.25
360,-10.81,-2.14,1.88
370,-14.08,-3.73,3.48
380,-18.64,-9.21,20.42
390,-19.87,-8.33,9.7
400,-23.4,-10.19,9.95
410,-23.72,-13.01,13.88
420,-24.08,-16.47,18.48
430,-22.25,-19.79,22.86
440,-15.67,-22.6,22.89
450,-12.7,-25.96,20.94
460,-13.07,-30.85,20.42
470,-11.33,-38.86,18.93
480,-3.34,-46.09,11.66
490,11.11,-48.55,-1.92
500,23.83,-43.94,-21.72
510,29.03,-36.25,-40.26
520,30.04,-28.32,-48.78
530,31.22,-25.85,-44.29
540,30.48,-25.19,-38.76
550,28.49,-24.84,-41.07
560,32.39,-20.99,-52.32
570,33.16,-15.22,-64.36
580,31.35,-11.32,-67.67
590,28.09,-10.28,-60.08
600,23.86,-11.07,-48.72
610,21.77,-11.5,-38.55
620,22.13,-11.7,-31.07
630,23.19,-11.79,-29.17
640,23.17,-12.27,-33.15
650,19.68,-14.18,-37.08
660,14.45,-17.12,-37.55
670,11.87,-20.44,-34.9
680,11.83,-22.56,-33.76
690,8.58,-25.95,-30.53
700,3.18,-28.67,-20.69
710,-0.33,-28.12,-10.82
720,-2.24,-25.37,-3.96
730,-1.94,-22.54,0.05
740,-2.92,-20.02,3.42
750,-6.39,-17.68,5.56
760,-9.61,-15.03,6.17
770,-9.66,-12.49,6.5
780,-8.16,-10.61,7.19
790,-8.97,-9.17,9.28
800,-10.83,-8.48,11.59
810,-11.43,-7.43,12.14
820,-10.9,-5.89,10.56
830,-8.8,-4.4,8.71
840,-7.07,-2.85,6.98
850,-7.34,-1.93,6.49
860,-8.54,-1.26,7.42
870,-9.39,-0.13,9.43
880,-7.98,1.24,11.52
890,-5.56,2.9,12.22
900,-4.06,4.29,12.15
910,-4.05,5.27,12.2
920,-4.65,5.95,12.57
930,-4.39,6.66,11.92
940,-3.17,7.59,9.8
950,-2.34,8.53,6.78
960,-1.91,9.31,4.0
970,-1.7,9.86,1.84
980,-2.03,10.29,0.64
990,-1.54,10.48,0.88
1000,-1.07,10.36,2.11
