timestamp,x,y,z
0,1.41,8.63,-6.24
10,1.56,8.5,-5.92
20,1.87,8.48,-5.58
30,2.19,8.5,-5.32
40,2.49,8.56,-5.06
50,2.81,8.68,-4.99
60,2.97,8.87,-5.09
70,3.01,9.06,-5.05
80,3.31,9.19,-4.87
90,4.09,9.3,-4.85
100,5.12,9.34,-4.92
110,5.89,9.18,-4.91
120,6.49,8.94,-5.23
130,7.01,8.89,-6.35
140,6.87,8.83,-8.01
150,6.32,8.84,-10.09
160,5.13,8.81,-12.29
170,3.3,8.41,-14.57
180,1.21,7.92,-15.97
190,0.01,7.51,-15.99
200,-0.52,7.13,-15.46
210,-0.18,7.07,-14.77
220,0.3,6.79,-14.05
230,0.8,6.22,-13.03
240,1.31,5.14,-11.41
250,1.66,3.82,-9.29
260,1.28,2.37,-7.31
270,-0.67,0.68,-5.45
280,-3.9,-1.21,-2.91
290,-7.6,-3.2,1.82
300,-10.78,-4.58,6.45
310,-14.73,-5.66,11.3
320,-18.48,-6.19,14.01
330,-23.33,-7.16,12.32
340,-25.9,-8.5,11.16
350,-27.05,-10.75,12.34
360,-26.88,-13.51,13.78
370,-21.94,-16.39,14.42
380,-19.31,-19.81,14.95
390,-22.06,-24.79,15.44
400,-23.23,-31.13,15.2
410,-17.6,-37.48,13.11
420,-8.15,-43.56,10.2
430,1.57,-49.22,5.11
440,14.88,-52.47,-5.03
450,26.77,-48.81,-19.35
460,27.65,-42.15,-30.69
470,22.07,-34.21,-52.97
480,15.03,-24.97,-63.01
490,14.56,-20.14,-56.04
500,17.47,-18.89,-44.14
510,20.21,-17.74,-35.26
520,22.37,-16.79,-30.89
530,23.57,-15.79,-28.12
540,22.37,-14.8,-26.98
550,19.41,-12.88,-29.42
560,16.0,-9.7,-33.86
570,11.4,-7.08,-36.7
580,9.08,-4.93,-36.03
590,7.12,-4.1,-33.31
600,4.82,-4.48,-28.15
610,1.48,-5.63,-22.99
620,-0.56,-6.83,-18.29
630,-1.37,-7.36,-15.02
640,-0.88,-7.0,-14.55
650,-0.18,-6.1,-16.92
660,0.09,-5.17,-21.26
670,0.34,-4.48,-26.78
680,-1.11,-4.61,-31.44
690,-4.93,-6.38,-34.93
700,-7.96,-10.11,-35.76
710,-6.66,-13.16,-32.93
720,-2.94,-16.06,-28.09
730,0.79,-18.1,-23.09
740,5.4,-18.58,-19.45
750,4.73,-19.54,-16.39
760,2.3,-20.06,-12.09
770,2.69,-19.35,-6.33
780,3.71,-18.0,1.11
790,8.92,-14.4,6.56
800,10.5,-11.02,8.03
810,7.69,-9.17,5.06
820,1.69,-8.66,3.62
830,0.38,-7.06,5.08
840,3.97,-5.13,7.73
850,2.72,-3.69,11.43
860,-0.73,-3.06,13.46
870,-1.86,-1.86,13.29
880,-0.44,-0.35,10.88
890,-0.45,0.82,9.31
900,-1.19,1.17,9.24
910,-2.39,1.23,7.95
920,-2.7,2.52,4.37
930,-3.11,3.42,2.31
940,-3.34,4.15,1.25
950,-3.1,4.72,1.43
960,-2.62,5.13,2.42
970,-2.02,5.46,3.35
980,-2.12,5.65,3.97
990,-2.16,5.89,3.62
1000,-1.97,6.27,2.45
