timestamp,x,y,z
0,-0.2,9.75,-1.04
10,-0.19,9.62,-0.94
20,-0.14,9.69,-0.93
30,-0.09,9.68,-0.9
40,-0.12,9.66,-0.95
50,-0.18,9.73,-0.78
60,-0.33,9.66,-0.45
70,-0.32,9.67,0.0
80,-0.45,9.69,0.34
90,-0.89,9.58,1.09
100,-0.99,9.65,1.98
110,-1.24,9.67,2.8
120,-0.73,9.63,3.56
130,0.33,9.79,3.75
140,1.35,10.3,1.42
150,0.86,10.39,-1.2
160,-0.06,10.29,-0.01
170,-1.01,10.35,1.28
180,-1.24,10.18,1.29
190,-1.24,9.97,1.12
200,-1.61,9.75,1.28
210,-1.52,9.52,1.48
220,-1.36,9.33,0.86
230,-1.51,9.08,-0.05
240,-1.47,8.81,-0.73
250,-1.54,8.54,-1.73
260,-2.01,8.23,-2.48
270,-2.35,7.92,-3.26
280,-2.65,7.65,-4.45
290,-3.0,7.37,-5.34
300,-3.22,7.18,-5.89
310,-3.45,6.97,-6.22
320,-3.68,6.75,-6.52
330,-4.01,6.55,-6.91
340,-4.28,6.36,-7.33
350,-4.5,6.24,-7.61
360,-4.97,6.09,-7.72
370,-5.21,6.02,-7.68
380,-5.26,5.72,-7.79
390,-5.56,5.52,-7.83
400,-5.65,5.29,-7.87
410,-5.7,5.15,-8.57
420,-5.89,5.04,-9.62
430,-6.1,4.82,-10.24
440,-6.28,4.48,-10.48
450,-6.5,3.85,-10.72
460,-6.28,3.22,-10.76
470,-5.47,2.69,-10.89
480,-4.58,2.19,-10.96
490,-4.63,1.37,-11.71
500,-4.84,0.22,-13.76
510,-5.04,-1.46,-15.27
520,-5.11,-3.68,-14.33
530,-5.19,-6.46,-12.42
540,-5.05,-9.34,-10.44
550,-4.1,-12.52,-10.24
560,-2.73,-16.06,-10.86
570,0.65,-19.08,-7.84
580,3.47,-20.84,-1.63
590,5.55,-21.2,2.93
600,11.13,-20.31,7.52
610,13.72,-18.83,13.8
620,16.85,-15.8,20.39
630,25.85,-11.95,29.51
640,39.61,-7.29,32.16
650,45.45,-3.64,21.68
660,42.79,-2.03,4.5
670,30.43,-2.33,-5.54
680,17.65,-2.9,-15.03
690,8.34,-6.05,-9.84
700,5.33,-7.94,1.85
710,6.15,-8.74,9.52
720,10.26,-8.76,14.43
730,15.06,-8.11,16.3
740,17.99,-7.46,15.89
750,19.33,-6.93,11.54
760,19.39,-6.6,7.95
770,19.11,-6.47,6.9
780,18.3,-6.28,7.76
790,17.88,-6.01,9.39
800,18.15,-5.51,10.57
810,19.64,-5.01,13.38
820,21.35,-5.0,15.91
830,23.52,-4.5,15.04
840,25.77,-4.07,13.23
850,27.4,-4.63,11.51
860,28.82,-5.39,10.51
870,29.97,-6.96,10.69
880,30.8,-9.47,11.93
890,31.2,-13.22,13.75
900,30.75,-18.14,14.98
910,27.82,-25.05,15.0
920,22.18,-31.2,12.78
930,15.34,-35.42,8.97
940,5.73,-36.72,5.17
950,-7.73,-32.66,-3.06
960,-20.86,-23.88,-10.79
970,-28.11,-14.83,-8.03
980,-30.24,-7.18,-2.67
990,-28.03,-1.81,-1.25
1000,-25.96,1.13,-2.57
