timestamp,x,y,z
0,0.1,4.89,8.89
10,-0.17,4.82,9.01
20,-0.38,4.84,9.15
30,-0.59,4.87,9.22
40,-0.91,4.9,9.21
50,-1.21,4.95,9.25
60,-1.57,4.98,9.39
70,-2.08,4.97,9.59
80,-2.54,4.92,9.98
90,-2.78,4.85,10.49
100,-2.73,4.87,11.21
110,-2.23,4.9,11.91
120,-1.56,4.81,12.14
130,-0.76,4.81,12.21
140,-0.01,4.69,11.9
150,-0.1,4.62,11.02
160,-0.32,4.54,10.01
170,0.14,4.46,9.04
180,0.95,4.43,8.18
190,2.29,4.38,7.47
200,4.02,4.24,6.82
210,5.7,4.28,6.19
220,7.57,4.25,5.74
230,8.74,4.09,4.69
240,10.52,3.73,2.44
250,12.8,2.98,-0.98
260,15.19,2.27,-4.15
270,16.4,1.25,-8.07
280,15.81,-0.08,-12.47
290,14.56,-1.04,-16.53
300,12.4,-1.88,-18.9
310,9.35,-2.36,-19.44
320,6.38,-2.77,-18.82
330,4.02,-3.3,-16.82
340,2.38,-4.43,-13.49
350,1.32,-5.4,-9.32
360,0.31,-6.5,-4.79
370,-1.35,-7.41,0.44
380,-3.97,-8.14,7.94
390,-4.19,-7.4,17.38
400,-3.09,-5.31,26.7
410,-2.82,-3.1,33.55
420,-2.65,-1.27,36.58
430,-2.67,0.18,37.32
440,-2.98,1.62,37.14
450,-3.05,2.32,37.32
460,-2.89,3.42,36.39
470,-2.33,3.93,34.75
480,-2.38,4.5,32.87
490,-2.71,5.03,31.0
500,-3.22,5.01,29.79
510,-3.39,4.76,29.08
520,-3.34,4.4,28.76
530,-3.16,3.96,28.44
540,-2.93,3.53,27.9
550,-2.81,3.02,26.77
560,-2.73,2.46,25.08
570,-2.77,1.9,23.38
580,-2.44,1.5,22.02
590,-2.03,1.14,20.8
600,-1.38,0.79,19.45
610,-0.51,0.44,17.66
620,0.01,0.04,15.27
630,0.64,-0.11,12.78
640,1.04,-0.23,9.83
650,1.29,-0.22,6.65
660,1.73,-0.27,3.77
670,1.89,-0.01,0.86
680,1.78,0.02,-1.9
690,1.2,0.09,-3.96
700,0.38,0.55,-5.19
710,0.12,0.97,-5.43
720,0.4,1.34,-4.67
730,0.91,1.65,-3.81
740,1.31,1.87,-3.21
750,1.42,2.03,-2.84
760,1.34,2.22,-2.63
770,1.15,2.46,-2.58
780,1.2,2.79,-2.2
790,1.38,3.24,-1.43
800,1.43,3.57,-0.81
810,1.5,3.72,-0.38
820,1.72,3.93,0.13
830,1.75,4.09,0.84
840,1.74,4.33,1.98
850,1.76,4.54,3.22
860,1.68,4.7,4.41
870,1.33,4.8,5.24
880,0.98,4.96,5.78
890,0.65,5.08,6.1
900,0.52,5.18,6.25
910,0.59,5.3,6.47
920,0.68,5.48,6.71
930,0.89,5.69,6.95
940,1.06,5.9,7.12
950,1.24,6.13,7.26
960,1.54,6.32,7.39
970,1.75,6.43,7.47
980,2.04,6.47,7.69
990,2.15,6.52,7.97
1000,1.9,6.57,8.34
