timestamp,x,y,z
0,3.57,3.28,-4.01
10,3.8,2.91,-4.04
20,4.28,2.48,-5.01
30,5.09,2.22,-6.37
40,5.88,2.37,-8.41
50,5.98,2.74,-11.41
60,5.18,3.32,-14.93
70,4.44,3.99,-19.06
80,3.17,4.17,-20.71
90,1.65,3.87,-20.41
100,1.54,3.96,-20.48
110,1.77,4.02,-20.96
120,1.59,3.88,-21.6
130,1.21,3.72,-21.99
140,0.93,3.22,-21.33
150,0.6,2.41,-19.23
160,0.82,1.75,-16.66
170,0.66,1.44,-14.44
180,0.54,1.41,-12.61
190,0.37,1.51,-10.88
200,-0.04,1.41,-9.61
210,-0.82,1.31,-8.49
220,-1.58,1.3,-7.6
230,-2.21,1.26,-6.77
240,-3.06,1.2,-5.57
250,-4.3,1.02,-4.35
260,-4.35,0.72,-0.57
270,-5.91,0.29,-0.4
280,-7.15,0.41,0.78
290,-8.87,0.43,2.35
300,-10.37,0.2,4.99
310,-11.59,-0.23,6.34
320,-12.15,-0.68,8.74
330,-11.31,-0.84,10.01
340,-14.89,-3.56,12.84
350,-16.62,-4.84,13.76
360,-16.4,-5.77,13.55
370,-15.18,-8.05,11.7
380,-15.13,-9.63,9.34
390,-13.84,-12.57,6.78
400,-11.4,-14.52,4.76
410,-9.08,-17.01,3.6
420,-5.89,-21.22,0.64
430,-0.05,-24.97,-2.48
440,7.66,-27.19,-6.47
450,16.29,-26.6,-14.13
460,23.66,-22.9,-26.25
470,22.2,-17.13,-42.42
480,15.22,-12.78,-54.06
490,14.32,-9.83,-54.3
500,10.0,-10.63,-42.68
510,8.82,-11.56,-32.57
520,11.82,-11.36,-27.04
530,15.6,-10.41,-25.21
540,18.2,-9.25,-25.77
550,19.25,-8.04,-27.09
560,19.36,-6.86,-27.97
570,18.16,-5.89,-27.67
580,15.86,-4.97,-26.47
590,13.91,-4.23,-24.82
600,12.67,-3.97,-23.61
610,12.56,-3.71,-24.04
620,12.58,-3.6,-25.35
630,12.3,-3.89,-26.74
640,11.09,-4.55,-27.41
650,10.32,-5.46,-26.9
660,10.47,-6.61,-24.57
670,11.76,-7.66,-20.81
680,12.6,-8.83,-17.5
690,10.92,-9.92,-14.04
700,6.54,-10.56,-9.9
710,0.61,-10.54,-5.53
720,-2.42,-9.21,-3.6
730,-2.72,-7.44,-2.81
740,-1.5,-6.01,-1.6
750,0.06,-5.07,0.36
760,1.56,-4.48,2.85
770,2.33,-3.91,4.84
780,2.41,-3.31,5.83
790,2.05,-2.64,5.53
800,1.73,-1.97,5.43
810,1.06,-1.49,5.38
820,0.46,-1.12,5.01
830,-0.59,-0.58,3.93
840,-1.25,-0.05,3.15
850,-1.46,0.37,3.7
860,-1.62,0.66,5.39
870,-1.06,1.28,7.17
880,-0.26,1.55,6.76
890,1.05,2.3,4.48
900,2.19,3.06,2.27
910,0.94,4.09,1.47
920,0.52,4.09,1.55
930,1.03,4.55,0.72
940,1.51,5.04,-0.13
950,2.17,5.24,-0.28
960,2.66,5.97,0.67
970,2.33,6.5,1.11
980,1.73,6.75,0.64
990,1.22,6.82,-0.02
1000,1.67,7.01,-0.64
