timestamp,x,y,z
0,1.0,7.72,-5.66
10,0.91,7.73,-5.64
20,0.8,7.68,-5.61
30,0.84,7.73,-5.6
40,0.88,7.82,-5.82
50,0.6,7.82,-6.08
60,0.52,7.89,-6.23
70,0.46,7.93,-6.39
80,0.44,7.95,-6.37
90,0.32,7.98,-6.14
100,0.19,8.04,-6.03
110,0.18,8.04,-5.97
120,0.27,8.04,-5.7
130,0.26,7.96,-5.31
140,0.43,7.95,-5.2
150,0.53,7.93,-5.49
160,0.81,8.03,-6.17
170,0.44,8.07,-6.94
180,-0.53,8.03,-7.6
190,-1.03,7.93,-7.73
200,-0.57,8.04,-7.38
210,0.04,8.12,-7.04
220,-0.15,8.03,-7.21
230,-0.91,7.93,-7.54
240,-1.28,7.83,-7.44
250,-1.27,7.84,-7.15
260,-1.29,7.88,-6.99
270,-1.62,7.77,-6.89
280,-1.74,7.62,-6.99
290,-1.7,7.48,-7.02
300,-2.03,7.36,-6.97
310,-2.41,7.13,-6.72
320,-2.84,6.86,-6.33
330,-3.39,6.46,-5.8
340,-3.61,6.09,-4.93
350,-3.3,5.72,-3.87
360,-3.11,5.28,-2.9
370,-3.26,4.75,-2.15
380,-3.84,3.98,-1.75
390,-5.05,3.06,-1.68
400,-5.47,2.35,-2.4
410,-7.27,1.29,-2.93
420,-10.58,0.08,-2.38
430,-13.72,-1.68,-0.86
440,-17.17,-3.99,2.45
450,-21.5,-6.81,8.06
460,-26.66,-10.85,19.23
470,-27.83,-11.78,22.51
480,-26.61,-13.54,26.65
490,-24.14,-17.71,26.36
500,-21.83,-21.36,19.13
510,-18.32,-24.31,13.77
520,-14.53,-27.71,10.13
530,-8.9,-30.15,7.03
540,-2.41,-31.65,4.79
550,-0.32,-35.22,2.31
560,0.1,-40.06,0.0
570,7.17,-45.07,-0.49
580,18.7,-48.23,-1.07
590,27.51,-49.55,-7.12
600,34.04,-45.72,-18.58
610,35.25,-39.32,-32.73
620,28.22,-32.39,-43.99
630,21.31,-26.82,-49.65
640,17.84,-22.67,-52.0
650,19.69,-18.61,-51.34
660,19.14,-16.28,-50.99
670,18.26,-15.02,-43.21
680,16.59,-14.52,-41.61
690,17.55,-13.51,-41.18
700,18.42,-12.57,-40.76
710,18.67,-12.47,-42.39
720,17.52,-12.97,-45.86
730,15.06,-13.98,-48.51
740,12.28,-15.42,-49.78
750,8.95,-17.9,-47.49
760,6.25,-21.19,-39.25
770,5.98,-23.04,-29.71
780,5.6,-23.37,-22.31
790,3.68,-23.23,-16.53
800,4.07,-21.96,-12.82
810,5.25,-20.54,-10.41
820,5.33,-19.48,-7.12
830,2.12,-18.94,-3.29
840,3.04,-17.38,-1.05
850,0.4,-15.47,2.59
860,-2.97,-13.87,8.03
870,-6.4,-11.72,13.46
880,-8.1,-8.84,17.63
890,-7.36,-5.71,20.35
900,-7.52,-3.31,18.27
910,-7.7,-1.73,12.5
920,-6.76,-0.43,7.36
930,-4.53,0.32,4.68
940,-3.04,0.62,4.24
950,-1.94,0.98,3.9
960,-1.02,1.39,5.21
970,-0.18,1.66,8.07
980,0.74,2.0,10.21
990,1.56,2.61,10.39
1000,2.18,3.45,8.13
