timestamp,x,y,z
0,-2.39,9.59,1.62
10,-2.98,9.49,1.71
20,-3.92,9.62,1.88
30,-4.7,9.64,2.43
40,-4.85,9.73,3.05
50,-4.56,9.69,4.01
60,-3.09,9.55,5.18
70,-0.93,9.38,6.21
80,1.94,9.02,6.5
90,4.38,8.6,5.87
100,6.48,8.38,4.63
110,8.1,8.22,3.45
120,9.19,8.15,2.53
130,9.67,8.16,1.58
140,9.55,7.94,0.46
150,9.0,7.81,-1.0
160,8.14,7.59,-2.31
170,7.0,7.13,-3.79
180,5.58,7.06,-5.38
190,3.84,6.66,-6.32
200,1.99,6.21,-7.17
210,0.48,5.85,-8.19
220,-0.53,5.64,-9.41
230,-1.35,5.48,-10.44
240,-1.99,5.34,-11.44
250,-2.22,5.28,-12.36
260,-2.27,5.2,-13.22
270,-2.43,5.09,-13.83
280,-2.57,4.83,-13.87
290,-2.92,4.61,-13.52
300,-3.56,4.28,-12.86
310,-4.33,4.17,-12.02
320,-5.17,3.96,-11.28
330,-6.16,3.86,-10.82
340,-7.68,3.76,-10.59
350,-9.73,3.54,-10.36
360,-11.15,3.19,-9.58
370,-11.79,2.92,-8.67
380,-13.44,2.05,-8.23
390,-15.42,1.14,-7.76
400,-16.31,0.26,-6.97
410,-16.36,-0.63,-7.32
420,-15.88,-1.72,-8.87
430,-15.78,-3.67,-11.38
440,-16.81,-6.57,-13.56
450,-17.34,-10.97,-13.79
460,-15.42,-17.05,-10.16
470,-11.72,-24.06,-5.78
480,-7.39,-31.55,-2.83
490,-1.41,-38.4,0.17
500,6.62,-42.38,2.44
510,13.9,-44.06,6.0
520,17.41,-44.39,9.66
530,25.32,-40.89,13.91
540,36.45,-34.28,19.22
550,46.85,-26.82,22.03
560,53.34,-19.57,20.33
570,55.75,-14.48,14.98
580,54.33,-11.76,8.0
590,48.65,-11.18,1.48
600,41.16,-11.44,-3.68
610,33.03,-11.91,-6.51
620,25.03,-12.88,-5.49
630,19.74,-12.7,-2.88
640,16.34,-11.92,1.19
650,16.18,-10.76,6.2
660,19.72,-9.81,12.07
670,24.42,-9.52,15.67
680,30.54,-9.59,17.15
690,35.72,-11.6,17.81
700,37.47,-15.53,16.93
710,34.86,-21.34,14.82
720,28.17,-29.88,11.66
730,23.07,-34.61,9.56
740,16.03,-37.32,5.84
750,8.83,-36.9,0.58
760,1.73,-32.94,-3.99
770,-5.35,-26.83,-6.54
780,-10.98,-20.3,-6.78
790,-14.81,-14.18,-6.9
800,-17.52,-8.78,-7.96
810,-19.5,-4.53,-9.08
820,-20.92,-1.44,-9.22
830,-21.57,0.57,-7.98
840,-21.67,2.15,-5.92
850,-20.64,2.97,-3.28
860,-17.93,3.62,-1.66
870,-14.47,4.03,-0.91
880,-10.83,4.52,-0.48
890,-8.35,4.94,-0.27
900,-7.63,5.16,-0.18
910,-7.94,5.52,-0.26
920,-8.16,5.9,-0.25
930,-7.93,6.24,-0.35
940,-7.57,6.58,-0.56
950,-6.98,6.9,-1.12
960,-6.28,7.15,-1.78
970,-5.59,7.4,-2.28
980,-5.13,7.67,-2.43
990,-4.86,7.76,-2.35
1000,-4.62,7.85,-2.27
