timestamp,x,y,z
0,-0.71,9.59,-1.34
10,-0.56,9.6,-1.38
20,-0.51,9.58,-1.33
30,-0.45,9.59,-1.29
40,-0.26,9.63,-1.35
50,0.03,9.7,-1.41
60,0.07,9.75,-1.51
70,0.03,9.79,-1.53
80,0.06,9.83,-1.46
90,0.21,9.87,-1.3
100,0.18,9.93,-1.35
110,-0.06,9.94,-1.33
120,-0.21,9.92,-1.31
130,0.18,9.95,-1.39
140,0.46,9.93,-1.08
150,0.34,9.8,-0.68
160,0.22,9.66,-0.56
170,0.13,9.53,-0.62
180,-0.04,9.46,-0.9
190,-0.14,9.47,-1.31
200,-0.3,9.48,-1.47
210,-0.58,9.4,-1.28
220,-0.91,9.33,-1.53
230,-0.79,9.39,-1.9
240,-1.09,9.39,-2.09
250,-1.47,9.32,-2.17
260,-1.44,9.25,-2.19
270,-1.58,9.03,-2.04
280,-2.04,8.69,-1.74
290,-2.7,8.31,-1.14
300,-2.95,7.99,-1.23
310,-3.48,7.79,-1.61
320,-3.78,7.4,-1.72
330,-3.95,6.99,-1.54
340,-4.39,6.62,-1.27
350,-4.87,6.19,-0.81
360,-5.15,5.81,-0.54
370,-5.53,5.46,-0.61
380,-5.74,5.13,-0.61
390,-6.14,4.56,-0.62
400,-6.64,3.85,-0.41
410,-7.46,2.81,-0.14
420,-8.89,1.64,0.58
430,-11.15,0.51,1.78
440,-13.92,-0.67,3.86
450,-17.31,-3.26,12.3
460,-21.32,-5.73,17.42
470,-25.45,-9.17,24.39
480,-25.53,-14.51,32.57
490,-21.13,-20.16,35.47
500,-13.23,-25.96,32.83
510,-7.65,-32.54,27.09
520,-7.03,-41.28,21.18
530,-4.55,-49.77,13.17
540,1.88,-55.05,2.52
550,12.36,-56.08,-6.77
560,23.2,-53.79,-15.0
570,32.19,-44.65,-36.39
580,30.22,-27.84,-65.95
590,18.8,-15.96,-78.45
600,5.68,-15.32,-63.43
610,1.77,-20.84,-25.82
620,8.57,-22.69,-19.59
630,16.74,-22.52,-20.73
640,23.25,-20.16,-29.21
650,26.76,-16.17,-43.73
660,24.75,-12.78,-54.54
670,16.75,-11.81,-57.66
680,7.89,-12.84,-55.38
690,3.59,-14.24,-52.13
700,2.06,-16.17,-50.95
710,2.17,-19.38,-48.03
720,4.29,-23.27,-41.37
730,6.4,-26.09,-32.42
740,8.49,-26.67,-26.2
750,11.54,-25.55,-24.92
760,11.54,-26.37,-26.28
770,5.8,-30.63,-21.8
780,-3.87,-34.08,-11.51
790,-5.07,-30.55,-1.53
800,3.32,-24.55,-2.24
810,7.6,-21.27,-1.96
820,3.95,-20.64,5.46
830,-0.85,-19.65,14.91
840,-2.69,-16.42,20.42
850,-2.65,-12.56,19.53
860,-4.28,-9.94,15.03
870,-6.83,-8.43,12.66
880,-7.34,-7.01,12.44
890,-6.26,-5.47,13.1
900,-5.69,-4.16,14.19
910,-5.13,-2.74,14.8
920,-3.35,-1.22,14.74
930,-1.77,0.3,13.84
940,-1.38,1.55,12.65
950,-2.05,2.26,12.47
960,-2.8,2.86,13.2
970,-2.83,3.6,13.8
980,-2.46,4.5,13.65
990,-1.87,5.39,12.81
1000,-1.74,6.19,11.36
