timestamp,x,y,z
0,-2.3,6.06,-7.91
10,-2.29,6.12,-7.86
20,-2.14,6.19,-7.75
30,-2.1,6.3,-7.7
40,-2.03,6.36,-7.69
50,-2.02,6.42,-7.82
60,-2.09,6.49,-8.05
70,-2.1,6.54,-8.28
80,-2.18,6.56,-8.41
90,-2.21,6.55,-8.34
100,-2.11,6.5,-8.14
110,-2.04,6.43,-8.0
120,-2.07,6.36,-7.87
130,-2.0,6.34,-7.78
140,-1.9,6.32,-7.81
150,-1.92,6.24,-7.9
160,-1.95,6.28,-7.78
170,-1.96,6.14,-7.57
180,-2.01,6.13,-7.62
190,-1.94,6.22,-7.91
200,-2.02,6.18,-7.59
210,-2.05,6.06,-7.16
220,-2.09,6.03,-6.96
230,-2.14,5.95,-6.87
240,-2.25,5.88,-6.76
250,-2.41,5.83,-6.61
260,-2.53,5.74,-6.47
270,-2.5,5.72,-6.37
280,-2.51,5.7,-6.39
290,-2.66,5.7,-6.39
300,-2.83,5.61,-6.36
310,-2.98,5.5,-6.27
320,-3.14,5.4,-6.12
330,-3.36,5.34,-6.07
340,-3.58,5.32,-6.1
350,-3.56,5.2,-5.87
360,-3.5,5.07,-5.64
370,-3.52,4.96,-5.55
380,-3.7,4.82,-5.44
390,-3.82,4.75,-5.38
400,-3.9,4.63,-5.14
410,-4.04,4.46,-4.84
420,-4.1,4.33,-4.67
430,-4.19,4.19,-4.4
440,-4.89,3.89,-3.99
450,-5.69,3.63,-3.53
460,-6.76,3.3,-2.82
470,-7.81,2.61,-2.12
480,-8.3,1.87,-0.71
490,-7.64,0.99,1.21
500,-6.73,0.04,5.07
510,-5.97,-1.05,9.05
520,-5.68,-2.79,13.22
530,-6.59,-5.04,21.95
540,-8.32,-8.17,28.41
550,-10.17,-11.26,27.38
560,-11.94,-14.71,22.06
570,-12.69,-17.91,16.45
580,-11.1,-21.92,12.41
590,-7.12,-26.17,8.22
600,-2.77,-30.19,3.76
610,-0.1,-35.35,-0.18
620,1.81,-39.78,-7.58
630,2.44,-41.81,-16.2
640,2.4,-39.93,-26.9
650,5.03,-36.82,-37.64
660,6.0,-28.63,-48.03
670,5.07,-20.97,-57.06
680,3.9,-15.83,-61.87
690,1.32,-13.54,-59.67
700,-1.15,-13.55,-53.45
710,-4.35,-14.31,-46.08
720,-6.57,-14.65,-39.83
730,-5.31,-13.54,-35.89
740,-3.1,-11.32,-36.74
750,-1.69,-9.53,-40.16
760,-2.02,-8.88,-42.59
770,-3.12,-9.84,-43.63
780,-4.69,-11.17,-43.97
790,-8.78,-14.14,-40.68
800,-10.91,-17.3,-32.61
810,-8.71,-18.32,-24.23
820,-3.31,-16.78,-19.37
830,0.94,-14.71,-17.78
840,1.05,-14.31,-15.33
850,1.18,-14.9,-8.14
860,1.66,-14.47,0.4
870,2.6,-12.73,7.87
880,2.55,-10.3,10.97
890,1.9,-8.21,11.98
900,1.19,-6.15,11.9
910,0.56,-4.47,10.34
920,1.22,-3.03,8.46
930,1.64,-1.96,6.62
940,2.0,-1.17,5.15
950,1.63,-0.52,4.21
960,1.5,-0.11,4.27
970,1.52,0.32,4.22
980,1.21,0.61,3.62
990,0.56,0.99,3.03
1000,0.67,1.5,2.03
