timestamp,x,y,z
0,-1.16,4.12,-8.66
10,-1.1,4.12,-8.79
20,-0.7,4.26,-8.86
30,-0.19,4.39,-9.05
40,-0.18,4.33,-8.77
50,-0.37,4.19,-8.41
60,-0.45,4.1,-7.87
70,-0.5,4.0,-7.47
80,-0.85,3.87,-7.59
90,-1.37,3.79,-8.06
100,-1.89,3.9,-8.68
110,-2.28,3.43,-8.04
120,-1.79,3.86,-8.04
130,-1.12,4.24,-9.08
140,-1.56,4.39,-9.54
150,-2.46,4.23,-9.58
160,-2.66,3.99,-9.48
170,-2.2,4.0,-9.52
180,-1.41,3.79,-9.27
190,-1.17,3.73,-8.73
200,-0.84,3.86,-7.59
210,-0.49,4.03,-7.31
220,-0.56,4.03,-7.44
230,-0.83,4.25,-7.55
240,-1.03,4.52,-7.91
250,-0.68,4.62,-7.79
260,-0.23,4.7,-7.39
270,-0.71,4.81,-8.84
280,-0.56,4.85,-9.37
290,-0.66,4.69,-10.0
300,-1.11,4.43,-11.03
310,-1.99,4.2,-11.24
320,-3.16,3.59,-11.31
330,-4.53,3.02,-11.22
340,-6.26,2.2,-11.33
350,-7.05,1.87,-10.52
360,-8.93,1.14,-9.75
370,-11.3,0.5,-9.58
380,-13.84,0.19,-9.28
390,-17.14,-0.04,-9.11
400,-20.02,-0.05,-9.08
410,-21.33,-0.13,-9.04
420,-20.81,-0.1,-8.99
430,-19.67,-0.18,-8.6
440,-18.92,-1.18,-8.44
450,-18.55,-1.84,-7.06
460,-16.87,-2.31,-4.71
470,-14.53,-3.22,-2.07
480,-12.28,-3.31,0.28
490,-10.53,-2.72,1.81
500,-9.35,-2.23,2.56
510,-7.31,-1.82,3.38
520,-5.43,-1.01,4.48
530,-4.73,-0.91,5.78
540,-4.23,-0.62,7.04
550,-3.06,0.43,6.7
560,-2.74,1.35,6.16
570,-3.17,1.32,5.78
580,-3.94,0.93,5.74
590,-4.56,0.62,6.28
600,-4.81,-0.28,7.88
610,-3.09,-1.77,9.57
620,0.5,-3.51,10.28
630,4.9,-5.32,9.58
640,8.4,-7.23,8.96
650,10.03,-10.2,7.52
660,10.03,-13.68,3.89
670,8.46,-17.8,-0.93
680,6.72,-20.33,-5.92
690,4.32,-21.26,-11.05
700,2.94,-21.75,-15.3
710,2.37,-21.18,-19.1
720,2.22,-20.04,-21.09
730,1.22,-18.29,-24.03
740,1.08,-16.48,-26.68
750,0.59,-14.77,-27.51
760,1.44,-13.57,-28.08
770,4.19,-13.59,-26.72
780,5.14,-12.76,-29.53
790,6.24,-13.46,-28.41
800,6.44,-14.21,-27.7
810,4.9,-14.94,-27.09
820,0.98,-15.02,-26.08
830,-3.78,-14.2,-25.33
840,-7.77,-13.57,-23.72
850,-9.7,-12.96,-19.62
860,-9.56,-12.73,-16.79
870,-8.03,-12.9,-14.78
880,-6.4,-13.39,-13.0
890,-5.56,-13.59,-12.46
900,-5.81,-13.59,-13.21
910,-8.49,-13.51,-16.02
920,-11.81,-13.41,-18.85
930,-15.7,-13.59,-21.39
940,-20.48,-13.63,-22.91
950,-24.59,-14.36,-23.27
960,-29.71,-16.52,-22.16
970,-34.33,-19.46,-19.92
980,-36.79,-23.82,-16.93
990,-36.48,-29.63,-14.01
1000,-28.42,-34.96,-10.03
