timestamp,x,y,z
0,12.18,4.64,-15.3
10,11.79,4.62,-15.26
20,11.81,4.75,-15.81
30,11.36,4.61,-16.83
40,9.28,4.34,-18.14
50,4.78,4.47,-20.34
60,-0.38,4.39,-23.1
70,-4.96,3.69,-24.19
80,-8.88,3.02,-23.15
90,-11.3,2.6,-21.26
100,-12.55,2.02,-19.22
110,-13.52,1.39,-16.63
120,-14.26,0.61,-13.53
130,-14.44,-0.37,-10.3
140,-14.54,-1.43,-7.26
150,-14.55,-2.69,-4.73
160,-13.7,-3.7,-1.78
170,-11.63,-4.65,0.35
180,-9.28,-5.6,2.38
190,-8.06,-6.21,5.23
200,-8.37,-7.72,8.44
210,-9.95,-11.29,11.44
220,-12.59,-16.55,20.06
230,-8.83,-19.09,17.82
240,-1.66,-22.23,18.12
250,6.83,-23.57,16.08
260,10.18,-25.32,14.48
270,9.44,-29.05,14.39
280,11.28,-32.17,11.48
290,13.84,-32.82,4.45
300,17.41,-33.37,-2.56
310,20.47,-33.57,-8.35
320,23.35,-33.14,-13.52
330,25.98,-30.31,-19.43
340,27.58,-30.34,-25.91
350,24.1,-26.63,-33.24
360,22.06,-22.55,-37.22
370,16.13,-19.8,-38.87
380,12.23,-20.31,-34.58
390,10.18,-21.63,-28.68
400,7.86,-23.03,-22.33
410,7.67,-24.06,-21.03
420,6.44,-25.15,-20.84
430,3.84,-25.47,-23.58
440,2.26,-25.51,-27.64
450,-1.99,-26.19,-30.37
460,-8.1,-26.0,-33.86
470,-11.96,-25.63,-36.78
480,-16.13,-25.81,-38.49
490,-19.95,-26.45,-37.31
500,-23.51,-27.11,-33.39
510,-29.22,-28.2,-28.56
520,-32.36,-28.8,-26.32
530,-29.73,-28.91,-26.77
540,-20.87,-30.66,-25.5
550,-10.8,-32.44,-17.63
560,-4.03,-32.13,-7.73
570,-1.06,-29.07,1.08
580,-4.2,-25.34,7.42
590,-8.02,-20.86,11.42
600,-10.39,-16.17,12.9
610,-9.99,-11.99,11.09
620,-7.85,-9.37,7.83
630,-5.41,-8.17,6.41
640,-4.47,-7.81,7.75
650,-7.96,-8.53,10.81
660,-10.02,-9.35,14.88
670,-6.62,-8.98,16.92
680,-2.26,-8.96,17.61
690,0.38,-9.34,16.82
700,1.87,-10.37,15.91
710,-1.11,-13.43,17.13
720,-3.49,-18.93,19.39
730,-0.6,-24.86,19.14
740,5.16,-30.08,14.95
750,5.77,-35.08,6.77
760,6.22,-38.52,-3.27
770,9.99,-38.09,-13.51
780,12.9,-36.91,-18.76
790,15.15,-35.74,-19.03
800,17.56,-34.76,-23.62
810,18.66,-31.98,-27.3
820,16.07,-30.92,-28.41
830,11.92,-29.0,-30.46
840,9.44,-26.1,-31.15
850,7.45,-23.61,-31.42
860,6.01,-22.59,-31.23
870,4.65,-22.29,-30.96
880,2.96,-21.94,-32.24
890,2.85,-21.56,-32.02
900,2.86,-22.04,-30.1
910,3.56,-22.9,-28.34
920,0.03,-26.4,-27.54
930,-1.98,-27.59,-30.61
940,-1.27,-27.74,-34.72
950,-1.87,-29.86,-39.73
960,-2.68,-32.56,-45.43
970,-5.9,-37.32,-48.84
980,-12.68,-43.85,-49.97
990,-17.05,-49.94,-44.46
1000,-19.9,-54.61,-35.25
