timestamp,x,y,z
0,2.49,1.57,-20.69
10,1.17,1.7,-22.04
20,-1.13,1.45,-22.57
30,-2.74,1.18,-21.41
40,-3.56,0.84,-18.72
50,-2.84,0.57,-15.82
60,-1.22,0.65,-13.65
70,-0.5,0.87,-12.26
80,-1.08,1.06,-11.83
90,-2.2,1.2,-12.24
100,-3.44,1.52,-12.77
110,-4.79,1.8,-13.15
120,-6.55,1.79,-13.09
130,-7.45,1.45,-12.59
140,-7.5,0.97,-11.51
150,-7.15,0.31,-9.9
160,-6.8,-0.25,-7.87
170,-6.66,-0.74,-6.26
180,-7.4,-1.19,-4.98
190,-8.84,-1.58,-3.85
200,-9.74,-1.86,-3.01
210,-10.38,-2.16,-2.72
220,-11.18,-2.9,-2.84
230,-11.71,-3.88,-2.59
240,-12.32,-5.36,-0.35
250,-11.37,-6.66,5.6
260,-11.2,-8.0,10.05
270,-9.21,-5.57,8.26
280,-7.2,-5.59,7.47
290,-6.86,-6.41,7.34
300,-5.25,-6.97,8.51
310,-3.44,-8.11,10.81
320,-1.27,-8.77,11.95
330,1.58,-9.42,11.77
340,0.9,-10.7,11.04
350,-0.14,-13.29,12.43
360,1.2,-17.25,13.99
370,5.69,-18.88,9.62
380,11.35,-19.9,6.61
390,13.1,-22.91,6.52
400,11.62,-27.03,5.32
410,10.81,-30.67,1.4
420,11.99,-32.87,-4.56
430,14.27,-32.79,-12.6
440,14.59,-31.46,-18.62
450,13.52,-30.28,-22.02
460,12.4,-29.26,-24.94
470,11.8,-27.69,-28.09
480,12.03,-26.42,-30.34
490,10.62,-25.75,-32.82
500,9.43,-23.97,-35.6
510,3.16,-22.21,-35.38
520,-5.13,-22.74,-32.8
530,-9.19,-24.13,-30.84
540,-6.09,-24.55,-35.4
550,-0.77,-24.68,-33.25
560,-0.53,-26.35,-32.3
570,-8.41,-29.15,-35.0
580,-18.55,-30.16,-39.15
590,-19.73,-29.95,-42.49
600,-18.56,-30.93,-37.1
610,-18.7,-32.39,-30.51
620,-21.24,-32.84,-24.64
630,-22.54,-31.5,-20.6
640,-24.75,-29.52,-15.0
650,-24.41,-26.71,-11.1
660,-20.86,-22.51,-10.54
670,-17.84,-18.75,-13.08
680,-16.73,-16.58,-14.84
690,-16.86,-15.81,-14.23
700,-16.68,-15.91,-11.84
710,-15.79,-16.32,-7.72
720,-14.86,-16.56,-2.68
730,-15.02,-16.4,1.31
740,-15.18,-15.86,3.7
750,-14.07,-14.89,5.37
760,-11.42,-13.86,5.01
770,-8.21,-12.14,3.57
780,-5.82,-10.8,1.44
790,-5.99,-10.73,0.46
800,-6.41,-10.37,2.05
810,-7.97,-10.59,5.51
820,-6.28,-10.66,8.48
830,-2.83,-10.07,10.29
840,-2.32,-9.51,9.67
850,-3.37,-9.28,9.2
860,-2.49,-8.67,9.1
870,1.98,-7.63,9.74
880,3.28,-7.64,9.13
890,0.88,-8.45,7.26
900,1.23,-8.49,6.68
910,0.06,-10.46,7.63
920,-1.44,-13.52,11.15
930,1.81,-15.18,13.0
940,7.44,-16.11,12.9
950,9.31,-18.94,11.24
960,9.07,-23.12,8.94
970,10.38,-26.48,4.54
980,12.79,-28.41,-1.55
990,12.71,-29.81,-6.84
1000,14.73,-30.24,-13.24
