timestamp,x,y,z
0,-0.37,-2.1,-10.38
10,-0.11,-1.98,-10.56
20,0.2,-1.66,-10.94
30,0.98,-1.44,-11.05
40,2.29,-1.49,-10.88
50,3.97,-1.61,-11.08
60,5.89,-1.7,-11.7
70,7.64,-1.54,-12.64
80,9.11,-1.11,-14.27
90,10.22,-0.73,-15.9
100,10.92,-0.45,-17.48
110,10.3,-0.54,-18.56
120,9.44,-0.86,-19.76
130,8.41,-1.43,-20.94
140,5.6,-2.26,-21.55
150,1.04,-3.22,-22.1
160,-3.75,-4.12,-23.02
170,-8.23,-4.08,-23.94
180,-13.25,-3.64,-25.34
190,-17.37,-3.13,-25.84
200,-19.13,-2.89,-24.29
210,-20.06,-3.17,-20.63
220,-21.1,-3.88,-15.5
230,-20.6,-4.17,-9.51
240,-17.04,-4.11,-1.61
250,-20.22,-4.11,-0.58
260,-18.76,-4.18,2.86
270,-17.24,-4.18,4.96
280,-16.36,-4.55,7.32
290,-14.71,-5.22,7.83
300,-12.4,-5.61,7.37
310,-10.98,-5.48,7.44
320,-10.47,-5.59,7.77
330,-9.47,-6.01,8.51
340,-7.72,-6.57,9.47
350,-5.74,-7.11,10.32
360,-3.27,-7.86,11.12
370,-1.24,-8.99,11.47
380,0.15,-10.35,11.12
390,2.16,-11.38,10.01
400,4.38,-12.52,8.65
410,6.66,-13.56,7.41
420,8.43,-14.56,6.73
430,9.7,-15.74,6.73
440,12.13,-16.19,5.63
450,15.07,-17.09,4.38
460,16.72,-18.34,3.62
470,18.26,-19.02,1.66
480,19.71,-19.78,-1.08
490,20.98,-20.87,-4.24
500,22.98,-21.84,-8.23
510,25.08,-22.19,-14.82
520,25.74,-21.31,-23.42
530,24.07,-19.78,-33.11
540,17.7,-18.38,-38.58
550,8.92,-17.72,-39.68
560,1.82,-18.03,-37.5
570,-3.03,-18.25,-34.87
580,-6.01,-18.89,-32.85
590,-12.35,-20.59,-32.26
600,-22.25,-21.91,-33.53
610,-20.31,-20.95,-28.55
620,-28.25,-20.03,-29.54
630,-32.33,-18.97,-30.91
640,-33.86,-18.75,-29.52
650,-34.31,-18.56,-25.91
660,-32.83,-18.14,-21.55
670,-31.72,-17.22,-17.76
680,-31.5,-16.09,-15.51
690,-31.15,-15.02,-13.5
700,-29.98,-14.22,-10.12
710,-28.6,-13.49,-6.93
720,-27.91,-13.01,-5.14
730,-26.69,-13.42,-4.6
740,-24.75,-13.82,-3.13
750,-22.66,-13.66,-0.52
760,-21.28,-13.9,2.29
770,-20.8,-13.35,4.43
780,-19.11,-11.86,6.76
790,-18.08,-10.05,7.82
800,-16.61,-8.72,7.24
810,-14.03,-7.34,6.68
820,-12.78,-6.95,4.74
830,-12.06,-7.42,5.08
840,-10.62,-8.7,7.48
850,-7.18,-9.16,10.42
860,-3.17,-9.71,9.49
870,-4.48,-10.54,10.22
880,-3.11,-11.45,11.64
890,1.41,-11.84,16.12
900,2.86,-12.19,13.16
910,1.75,-13.31,9.41
920,3.65,-14.34,8.25
930,7.55,-15.49,6.65
940,10.39,-16.29,5.19
950,11.41,-16.59,2.87
960,11.68,-16.74,0.09
970,12.47,-16.66,-2.06
980,13.92,-16.36,-3.51
990,15.87,-16.07,-4.25
1000,17.81,-15.12,-5.5
