timestamp,x,y,z
0,-1.94,2.43,13.86
10,-0.83,1.76,15.05
20,2.51,0.79,15.48
30,5.7,-0.11,13.79
40,8.54,-0.82,10.36
50,10.11,-1.02,6.56
60,9.82,-0.83,4.23
70,9.1,-0.73,3.53
80,8.12,-0.64,2.2
90,7.01,-0.57,0.68
100,5.87,-0.42,-0.65
110,4.79,-0.19,-2.37
120,4.8,-0.32,-3.78
130,5.89,-0.63,-4.27
140,5.49,-1.05,-5.89
150,4.79,-1.38,-7.82
160,4.2,-2.34,-10.23
170,5.52,-4.15,-15.68
180,4.58,-6.64,-21.7
190,2.02,-9.89,-27.12
200,-1.44,-15.0,-29.87
210,-4.9,-22.93,-24.3
220,-8.03,-31.58,-9.83
230,-12.01,-36.46,-0.66
240,-9.49,-38.82,2.72
250,-14.19,-40.47,9.19
260,-22.29,-39.77,15.35
270,-23.57,-34.13,21.16
280,-19.49,-31.33,29.3
290,-16.75,-27.1,36.0
300,-14.96,-22.47,32.89
310,-10.93,-20.62,27.95
320,-13.34,-19.54,23.59
330,-15.77,-18.73,19.07
340,-19.06,-17.81,16.12
350,-18.21,-17.4,19.45
360,-18.21,-16.82,23.31
370,-19.79,-15.4,20.82
380,-17.65,-15.11,14.73
390,-15.07,-14.7,13.3
400,-11.75,-14.39,12.47
410,-10.09,-13.62,14.57
420,-9.66,-13.01,16.22
430,-9.56,-12.9,17.05
440,-12.06,-14.14,19.58
450,-9.58,-13.74,18.92
460,-8.6,-14.29,17.47
470,-9.39,-16.32,18.07
480,-10.47,-17.18,19.45
490,-10.8,-18.78,20.41
500,-4.71,-19.03,20.01
510,3.49,-17.68,21.23
520,8.05,-17.14,23.6
530,8.4,-17.83,23.49
540,8.64,-17.48,19.78
550,8.12,-16.5,15.0
560,6.54,-15.78,11.99
570,5.26,-13.44,10.22
580,3.74,-10.75,8.23
590,4.04,-8.58,6.63
600,6.61,-6.87,6.34
610,8.98,-6.04,6.03
620,9.17,-5.99,4.72
630,7.5,-5.98,2.26
640,6.13,-5.81,-0.5
650,6.17,-5.45,-3.68
660,6.84,-5.32,-6.28
670,7.8,-5.3,-7.74
680,8.73,-5.45,-7.99
690,9.05,-6.24,-6.33
700,7.13,-6.69,-7.53
710,4.43,-8.09,-9.87
720,2.57,-9.96,-12.02
730,0.72,-13.45,-13.74
740,-3.88,-15.19,-14.6
750,-8.37,-17.67,-10.86
760,-9.05,-19.41,-2.53
770,-7.64,-20.44,5.13
780,-9.77,-21.58,7.98
790,-14.98,-22.38,6.6
800,-18.73,-24.06,5.64
810,-19.37,-25.6,6.86
820,-20.72,-26.26,9.63
830,-23.32,-26.86,14.26
840,-23.34,-26.34,20.59
850,-21.59,-25.73,26.17
860,-19.91,-24.09,31.54
870,-19.41,-22.24,35.77
880,-17.93,-21.09,37.47
890,-14.81,-20.48,36.12
900,-12.15,-20.04,33.66
910,-9.54,-19.81,29.38
920,-8.38,-19.92,25.93
930,-6.48,-19.74,23.56
940,-5.14,-19.62,23.03
950,-6.1,-19.68,25.28
960,-7.24,-19.78,29.37
970,-7.93,-20.41,31.16
980,-5.68,-20.63,31.58
990,-1.9,-20.44,32.01
1000,2.7,-20.98,31.2
