timestamp,x,y,z
0,-7.78,3.39,14.14
10,-7.25,3.66,16.03
20,-6.09,3.55,17.55
30,-4.31,3.22,18.42
40,-2.74,2.82,18.7
50,-1.37,2.37,18.85
60,-0.08,2.14,19.04
70,1.09,1.92,18.97
80,2.59,1.73,18.71
90,4.23,1.4,18.62
100,5.27,0.94,18.63
110,6.1,0.15,17.85
120,7.13,-1.08,16.21
130,7.6,-2.28,14.38
140,7.46,-3.42,11.94
150,7.13,-4.53,9.49
160,7.17,-5.2,6.28
170,7.71,-6.72,4.03
180,8.58,-7.77,2.35
190,9.37,-8.23,0.49
200,10.43,-8.6,-0.81
210,11.07,-9.45,-3.17
220,8.16,-9.83,-7.62
230,6.36,-9.87,-11.15
240,6.37,-10.0,-12.46
250,5.95,-10.34,-12.85
260,4.21,-10.67,-12.47
270,2.77,-11.67,-12.07
280,1.58,-12.56,-12.24
290,0.28,-13.79,-13.34
300,-0.95,-15.08,-13.72
310,-1.48,-17.1,-13.74
320,-2.09,-19.63,-13.8
330,-3.88,-22.69,-13.14
340,-7.73,-25.23,-12.42
350,-12.89,-27.54,-11.92
360,-18.18,-29.08,-10.14
370,-22.34,-29.42,-5.27
380,-27.29,-28.03,1.05
390,-31.61,-24.66,7.26
400,-33.06,-23.49,17.35
410,-31.58,-20.74,27.73
420,-29.51,-18.86,34.0
430,-27.12,-18.04,33.63
440,-22.79,-18.29,27.5
450,-18.68,-19.16,21.76
460,-16.03,-19.74,18.86
470,-13.03,-19.8,19.36
480,-10.91,-19.33,23.38
490,-11.89,-17.89,25.53
500,-14.16,-17.15,26.75
510,-12.25,-16.21,29.06
520,-9.33,-16.38,30.25
530,-8.76,-16.68,30.38
540,-6.02,-16.87,30.88
550,-3.27,-16.9,28.19
560,-0.24,-16.86,25.36
570,3.26,-16.28,24.4
580,4.71,-15.38,24.45
590,4.8,-14.14,25.18
600,3.84,-12.84,25.81
610,1.67,-11.77,26.0
620,-0.62,-11.25,25.57
630,-1.5,-11.46,24.61
640,-0.46,-11.94,23.41
650,3.42,-12.65,22.78
660,9.94,-13.05,20.88
670,13.81,-13.63,18.17
680,14.36,-13.93,16.39
690,11.39,-13.81,13.81
700,7.92,-13.5,9.76
710,5.35,-12.97,6.29
720,3.71,-12.17,3.09
730,3.3,-11.31,0.26
740,3.99,-10.44,-1.56
750,5.1,-9.27,-2.74
760,6.32,-8.77,-2.91
770,6.72,-8.51,-2.4
780,6.93,-8.27,-2.71
790,6.99,-8.06,-4.07
800,6.88,-7.83,-4.79
810,8.27,-8.46,-4.46
820,7.01,-8.5,-6.86
830,5.76,-8.62,-9.99
840,4.85,-8.85,-12.07
850,4.19,-10.16,-12.44
860,3.45,-11.39,-12.73
870,2.37,-13.12,-14.2
880,0.31,-16.24,-14.93
890,-2.0,-19.18,-14.52
900,-4.88,-22.78,-11.9
910,-9.05,-25.52,-5.98
920,-12.88,-27.0,0.09
930,-15.71,-28.39,4.45
940,-19.34,-28.62,6.87
950,-23.56,-28.15,8.51
960,-27.13,-27.77,12.81
970,-29.26,-26.63,19.72
980,-27.32,-24.54,27.36
990,-23.99,-21.55,33.38
1000,-21.05,-18.88,37.84
