timestamp,x,y,z
0,4.36,2.2,11.27
10,4.72,2.14,11.77
20,5.49,2.11,12.33
30,7.42,2.1,12.87
40,9.33,2.08,12.84
50,11.06,2.12,12.92
60,12.48,2.05,13.12
70,12.83,1.79,12.23
80,11.58,1.53,10.2
90,10.14,1.49,8.27
100,9.02,1.78,7.48
110,7.64,1.85,6.46
120,6.83,2.02,4.87
130,6.57,2.51,3.04
140,6.48,2.83,0.93
150,7.2,3.35,-0.66
160,8.79,3.75,-1.42
170,9.67,3.65,-2.03
180,8.32,3.62,-2.45
190,6.73,3.35,-2.51
200,4.84,3.06,-2.43
210,4.0,2.19,-3.48
220,1.62,0.74,-6.85
230,-0.87,-1.86,-10.34
240,-4.35,-3.29,-12.69
250,-9.51,-5.27,-8.96
260,-12.37,-7.77,-6.05
270,-12.27,-11.16,-5.7
280,-11.43,-14.42,-2.39
290,-9.71,-17.34,4.13
300,-6.02,-18.43,10.83
310,-1.85,-19.0,16.59
320,1.52,-18.37,20.48
330,5.31,-16.78,24.36
340,8.57,-15.49,24.81
350,12.1,-13.2,27.14
360,13.54,-11.95,26.71
370,11.89,-10.82,25.51
380,8.2,-10.18,23.67
390,6.52,-10.76,23.16
400,3.51,-10.93,20.79
410,1.69,-11.38,17.45
420,1.55,-12.08,15.07
430,4.54,-12.45,13.03
440,7.88,-12.33,11.27
450,10.74,-12.03,9.11
460,13.93,-11.6,7.54
470,16.39,-11.18,6.84
480,17.6,-11.03,6.26
490,19.86,-10.59,5.48
500,20.23,-10.05,5.79
510,19.03,-9.7,7.54
520,17.84,-9.5,9.73
530,15.91,-9.41,11.89
540,14.49,-9.53,13.29
550,14.39,-9.61,13.41
560,14.98,-9.74,12.13
570,15.6,-9.81,9.63
580,16.99,-9.82,6.31
590,18.49,-9.31,2.73
600,20.29,-8.7,0.91
610,20.69,-8.05,0.93
620,19.61,-7.9,2.2
630,17.53,-8.1,2.9
640,14.67,-8.53,2.71
650,12.05,-8.5,0.45
660,9.77,-7.57,-2.91
670,8.16,-6.08,-5.07
680,8.64,-4.61,-6.41
690,9.29,-3.56,-6.71
700,9.11,-2.69,-6.34
710,8.62,-2.02,-4.86
720,7.92,-1.94,-4.43
730,6.4,-1.68,-5.88
740,5.12,-1.29,-7.73
750,4.15,-0.78,-7.81
760,3.98,-0.47,-7.78
770,3.79,-0.42,-8.24
780,2.87,-0.53,-8.78
790,1.35,-0.58,-9.06
800,-0.78,-0.93,-8.42
810,-2.02,-1.01,-8.26
820,-3.54,-1.19,-7.6
830,-4.48,-1.63,-7.07
840,-5.3,-2.29,-6.56
850,-5.84,-3.37,-5.58
860,-6.77,-4.76,-3.4
870,-7.95,-5.53,-0.32
880,-7.9,-6.24,4.13
890,-7.2,-6.92,8.72
900,-6.72,-6.86,13.45
910,-7.1,-6.98,17.66
920,-6.5,-6.97,20.36
930,-4.86,-6.97,22.1
940,-3.46,-6.33,23.29
950,-2.59,-6.68,23.22
960,-0.45,-5.77,21.55
970,0.38,-5.54,23.42
980,-0.47,-5.46,22.02
990,-1.1,-5.06,21.12
1000,-1.73,-6.05,22.63
