timestamp,x,y,z
0,1.5,4.45,8.16
10,1.33,4.42,8.34
20,1.35,4.38,8.86
30,1.46,4.38,9.15
40,1.68,4.34,9.26
50,1.74,4.37,9.23
60,1.38,4.34,9.12
70,1.05,4.29,8.94
80,0.91,4.23,8.81
90,0.94,4.13,8.87
100,0.99,4.08,9.01
110,0.96,4.11,9.07
120,0.86,4.11,9.18
130,0.66,4.08,9.25
140,0.5,4.07,9.21
150,0.23,4.02,8.87
160,-0.12,3.93,8.63
170,-0.6,3.82,8.43
180,-1.04,3.8,8.34
190,-1.18,3.79,8.35
200,-1.37,3.83,7.93
210,-1.5,3.94,7.15
220,-2.18,3.94,6.55
230,-3.4,3.89,6.24
240,-4.35,3.96,6.24
250,-4.98,3.85,6.67
260,-5.41,3.9,6.99
270,-4.39,3.71,7.62
280,-2.51,3.38,8.46
290,-0.66,3.25,9.11
300,0.33,3.19,10.74
310,1.19,3.37,12.63
320,2.91,3.2,14.01
330,4.23,3.28,14.76
340,4.47,3.36,14.84
350,4.77,3.36,13.98
360,5.93,3.38,12.63
370,7.56,3.44,11.26
380,9.03,3.55,10.3
390,9.87,3.51,9.48
400,11.95,3.6,8.39
410,13.82,3.71,7.27
420,14.77,3.65,6.37
430,16.43,3.69,5.21
440,17.39,3.41,4.05
450,18.76,3.27,3.51
460,20.86,3.07,2.98
470,23.08,2.8,1.44
480,25.51,2.18,-0.55
490,28.4,1.18,-2.12
500,30.35,-0.27,-2.58
510,30.55,-1.66,-1.21
520,29.77,-3.25,1.64
530,27.77,-5.06,5.04
540,23.4,-6.72,8.31
550,18.98,-7.98,10.91
560,13.2,-9.28,10.87
570,6.49,-10.95,8.52
580,-0.45,-12.02,5.66
590,-8.26,-12.49,5.26
600,-15.92,-12.06,8.34
610,-22.22,-11.53,12.41
620,-28.37,-10.77,15.91
630,-32.69,-9.43,19.41
640,-35.79,-7.92,23.0
650,-36.51,-6.42,24.41
660,-34.41,-4.98,22.7
670,-31.77,-3.94,18.39
680,-29.31,-3.1,13.28
690,-27.14,-2.43,8.51
700,-25.15,-2.68,4.74
710,-22.35,-3.49,3.13
720,-19.74,-5.27,3.7
730,-17.09,-5.95,5.1
740,-13.69,-6.83,5.69
750,-11.16,-7.61,7.35
760,-7.28,-8.16,7.52
770,-4.42,-8.25,7.57
780,1.59,-8.95,7.3
790,7.59,-8.51,8.88
800,13.13,-7.38,10.84
810,17.78,-5.77,11.34
820,22.77,-3.93,11.31
830,26.29,-2.14,10.14
840,30.07,-0.67,8.43
850,32.68,0.52,8.09
860,34.01,1.57,8.25
870,34.34,2.52,8.27
880,34.56,3.28,8.05
890,34.9,3.73,7.59
900,34.64,4.22,7.67
910,33.86,4.36,7.96
920,32.81,4.04,7.63
930,31.09,3.22,6.25
940,29.68,2.01,4.63
950,27.03,0.9,3.25
960,23.9,-0.12,2.57
970,20.93,-0.85,2.3
980,17.45,-1.82,1.74
990,13.87,-3.06,0.99
1000,9.54,-4.34,1.13
