timestamp,x,y,z
0,3.35,0.55,10.39
10,2.15,0.55,9.77
20,1.31,0.5,10.3
30,0.67,0.69,11.94
40,0.53,1.04,13.32
50,0.02,0.89,13.6
60,-0.7,0.48,12.89
70,-2.01,0.11,10.47
80,-3.47,0.21,7.68
90,-4.23,0.41,5.27
100,-4.08,0.56,3.92
110,-3.04,0.86,3.63
120,-1.65,1.02,3.8
130,-0.47,1.01,3.35
140,0.71,0.75,2.35
150,1.67,0.6,1.8
160,3.51,0.15,1.84
170,6.08,-0.31,1.26
180,9.46,-0.65,-0.89
190,12.93,-0.72,-3.67
200,16.75,-0.34,-7.41
210,22.19,-0.86,-11.96
220,28.46,-1.36,-17.23
230,33.95,-1.58,-18.05
240,37.36,-2.0,-11.6
250,40.22,-3.97,-2.89
260,39.86,-4.26,1.06
270,37.91,-4.7,-0.65
280,34.49,-6.46,-5.85
290,28.44,-8.2,-11.82
300,22.16,-9.4,-11.69
310,16.43,-10.46,-5.8
320,12.32,-10.32,0.28
330,8.71,-10.21,4.67
340,5.68,-10.13,9.22
350,3.0,-10.02,14.45
360,-0.0,-9.54,19.45
370,-3.38,-8.97,22.93
380,-7.58,-8.06,23.13
390,-12.25,-7.29,21.57
400,-17.5,-6.28,20.62
410,-22.75,-4.9,21.04
420,-27.35,-3.55,22.41
430,-30.1,-2.22,23.2
440,-30.31,-1.04,21.59
450,-28.44,-0.25,18.8
460,-25.72,0.56,14.92
470,-23.61,0.93,11.37
480,-22.59,0.69,6.9
490,-20.48,0.41,3.44
500,-17.98,-0.16,0.89
510,-15.91,-1.29,-0.93
520,-13.33,-2.11,-1.96
530,-11.24,-3.93,-1.59
540,-9.13,-6.51,0.63
550,-6.9,-9.64,5.77
560,-4.61,-11.24,15.33
570,-0.51,-10.95,23.8
580,2.53,-9.76,25.87
590,2.87,-8.76,23.43
600,1.75,-8.42,20.36
610,0.72,-8.58,17.77
620,1.14,-8.09,17.63
630,1.88,-7.92,18.44
640,2.58,-8.17,17.25
650,3.03,-8.73,14.35
660,4.75,-9.12,11.41
670,6.73,-9.59,8.83
680,8.43,-9.67,6.1
690,10.91,-10.05,5.37
700,13.49,-10.08,4.64
710,15.74,-9.94,5.1
720,16.49,-9.78,6.13
730,18.27,-9.56,7.58
740,20.52,-9.43,8.5
750,22.52,-9.2,9.03
760,25.03,-8.71,9.31
770,27.72,-8.31,8.33
780,29.84,-7.71,5.12
790,30.75,-7.39,2.1
800,30.0,-7.71,0.56
810,27.46,-8.62,0.18
820,24.59,-9.64,0.51
830,21.21,-10.83,1.44
840,18.79,-11.46,2.19
850,17.59,-12.19,3.2
860,17.29,-13.62,4.7
870,16.01,-15.73,5.91
880,12.88,-18.59,6.91
890,7.24,-21.89,8.31
900,0.12,-23.91,10.24
910,-7.29,-24.48,13.05
920,-14.07,-23.8,15.98
930,-19.75,-22.64,17.87
940,-22.0,-20.88,18.28
950,-19.0,-18.65,15.93
960,-14.76,-17.35,13.61
970,-12.44,-15.51,13.44
980,-11.4,-13.32,16.61
990,-12.02,-11.39,21.29
1000,-12.92,-9.52,24.68
