timestamp,x,y,z
0,-0.64,-0.06,7.63
10,-0.32,-0.28,7.61
20,0.08,-0.37,7.19
30,0.81,-0.79,7.54
40,1.8,-1.36,8.88
50,2.58,-1.72,11.32
60,4.22,-1.38,15.9
70,5.73,-1.16,20.45
80,6.68,-1.3,23.02
90,7.31,-1.17,22.73
100,7.46,-1.12,21.13
110,7.99,-1.43,18.77
120,7.84,-1.65,16.2
130,7.75,-1.74,13.49
140,7.3,-1.58,11.28
150,6.86,-1.13,9.65
160,6.31,-0.75,8.51
170,5.87,-0.68,7.62
180,5.77,-0.51,6.94
190,6.01,-0.3,6.94
200,6.0,-0.17,6.7
210,5.99,-0.06,6.45
220,5.91,0.16,6.22
230,5.37,0.3,6.2
240,4.68,0.36,5.92
250,4.1,0.34,5.46
260,3.97,0.38,4.94
270,4.22,0.49,4.55
280,4.87,0.7,4.29
290,6.37,0.99,3.9
300,8.42,1.36,3.48
310,9.83,1.64,2.41
320,10.72,1.75,1.1
330,11.71,1.7,0.23
340,13.09,1.69,-0.22
350,15.33,1.8,0.1
360,18.0,2.07,0.56
370,20.86,2.19,0.45
380,23.63,1.98,-0.84
390,25.28,1.53,-3.3
400,26.71,1.05,-5.52
410,28.26,0.46,-6.64
420,29.09,-0.31,-5.93
430,28.14,-1.16,-5.04
440,25.21,-2.47,-4.96
450,23.07,-3.87,-5.64
460,20.93,-5.77,-4.2
470,18.31,-7.06,-0.04
480,15.71,-8.2,5.56
490,13.87,-8.95,9.34
500,12.19,-9.29,12.28
510,7.02,-9.9,12.35
520,1.06,-10.99,9.68
530,-4.59,-12.18,7.76
540,-11.2,-12.89,8.99
550,-18.22,-12.92,14.26
560,-26.11,-12.17,21.76
570,-32.66,-10.7,27.77
580,-36.55,-8.32,30.72
590,-37.29,-5.58,28.45
600,-35.05,-3.54,22.58
610,-32.35,-1.7,15.29
620,-29.92,-0.35,9.21
630,-27.68,0.53,5.69
640,-26.28,0.7,2.92
650,-22.96,-0.05,1.92
660,-20.28,-1.16,3.28
670,-19.72,-2.66,5.46
680,-18.07,-4.24,6.55
690,-14.51,-5.65,6.11
700,-11.61,-6.78,5.29
710,-6.54,-7.48,3.97
720,-3.04,-8.31,4.58
730,1.79,-8.66,6.11
740,7.56,-8.5,7.32
750,12.75,-7.62,9.39
760,17.31,-5.78,10.91
770,20.99,-3.35,10.64
780,24.8,-1.08,9.43
790,28.19,0.74,7.67
800,30.89,2.21,6.88
810,32.45,3.34,6.38
820,33.61,4.2,5.99
830,34.23,4.72,5.9
840,35.15,5.14,5.52
850,36.06,5.51,5.5
860,35.85,5.61,5.24
870,33.88,5.08,3.84
880,31.4,4.06,2.23
890,28.88,3.06,1.19
900,25.11,2.03,0.53
910,21.39,1.02,0.82
920,17.91,-0.09,1.64
930,15.76,-1.5,2.15
940,14.03,-3.04,2.7
950,9.76,-4.62,3.73
960,5.53,-6.3,4.81
970,1.24,-8.41,4.43
980,-4.15,-10.35,3.87
990,-8.88,-11.89,5.74
1000,-12.19,-13.1,9.84
