timestamp,x,y,z
0,0.46,-0.12,10.22
10,0.26,-0.3,10.59
20,0.11,-0.46,11.07
30,-0.1,-0.55,11.47
40,-0.6,-0.8,11.53
50,-1.25,-0.93,11.7
60,-2.82,-0.95,12.34
70,-4.7,-1.31,12.8
80,-6.62,-1.56,13.81
90,-8.59,-1.64,15.25
100,-10.05,-1.17,17.76
110,-10.6,-0.4,21.18
120,-10.67,-0.12,24.09
130,-10.6,-0.15,25.66
140,-10.43,-0.59,25.29
150,-10.13,-1.39,23.76
160,-9.29,-2.37,21.61
170,-8.08,-3.41,18.62
180,-7.32,-4.35,14.11
190,-6.09,-4.9,9.65
200,-3.37,-5.07,6.46
210,0.27,-5.14,4.97
220,4.38,-5.2,4.67
230,8.53,-5.2,4.22
240,12.43,-5.13,2.55
250,15.56,-4.7,-0.08
260,18.36,-3.96,-2.09
270,19.61,-3.0,-3.24
280,19.71,-1.99,-3.52
290,19.78,-1.36,-2.72
300,20.36,-0.52,-1.68
310,20.69,0.09,-1.78
320,20.7,0.18,-1.58
330,19.95,0.17,-1.4
340,18.71,0.48,-1.43
350,17.5,0.77,-1.27
360,17.29,0.89,-0.82
370,16.93,1.18,-1.01
380,16.69,0.46,-1.87
390,19.06,0.45,-3.6
400,19.71,-0.24,-5.09
410,20.26,-0.85,-5.03
420,19.73,-1.01,-4.95
430,18.59,-1.77,-2.88
440,15.99,-2.43,1.67
450,14.8,-3.37,3.39
460,13.67,-5.19,2.71
470,11.14,-6.24,1.38
480,8.02,-6.76,3.19
490,6.19,-6.85,6.32
500,4.7,-8.08,7.89
510,2.69,-9.61,11.72
520,0.72,-10.69,20.44
530,-2.68,-11.07,28.62
540,-7.88,-10.43,33.52
550,-14.42,-8.73,36.16
560,-20.96,-6.54,37.29
570,-26.08,-4.03,36.25
580,-24.94,-2.49,30.76
590,-19.62,-1.51,20.85
600,-16.15,-0.57,14.49
610,-16.11,-0.24,12.14
620,-17.17,-0.03,10.03
630,-17.84,0.12,8.1
640,-18.13,-0.33,6.08
650,-17.51,-1.04,4.64
660,-15.61,-1.46,3.61
670,-14.83,-1.8,3.05
680,-14.65,-2.94,3.52
690,-12.97,-3.63,3.41
700,-10.54,-4.16,3.42
710,-8.9,-4.62,4.84
720,-7.43,-4.99,7.27
730,-5.84,-5.14,9.81
740,-4.19,-5.36,11.67
750,-2.0,-5.52,11.93
760,0.67,-5.5,11.56
770,3.03,-5.49,10.34
780,5.49,-6.73,9.75
790,9.01,-5.77,4.28
800,10.54,-7.37,6.75
810,16.93,-6.32,5.86
820,22.93,-6.12,3.86
830,27.4,-5.89,4.26
840,29.56,-5.42,6.33
850,28.31,-5.24,8.22
860,26.73,-4.92,9.81
870,24.95,-4.3,9.12
880,20.49,-4.58,9.18
890,17.95,-4.31,10.02
900,17.54,-4.67,10.81
910,17.66,-5.16,11.53
920,16.67,-5.33,11.4
930,15.0,-5.38,10.76
940,12.75,-5.79,9.46
950,10.46,-6.18,8.0
960,8.38,-6.41,6.96
970,6.78,-6.72,6.43
980,5.87,-7.12,6.05
990,4.83,-7.83,6.01
1000,3.31,-7.5,6.11
